Treatments,id,Nymph duration,Longevity,Productivity,Lifeperiod,immediately death
NE3,50,7.5,17.5,26,25,0
NE4,1,,,,2.5,1
NE4,2,,,,10,0
NE4,3,11,15,19,26,0
NE4,4,,,,3.5,1
NE4,5,10.5,11.5,17,22,0
NE4,6,10,14,18,24,0
NE4,7,,,,3.5,1
NE4,8,,,,11,0
NE4,9,,,,0.5,1
NE4,10,,,,4,1
NE4,11,,,,12,0
NE4,12,8.5,17.5,39,26,0
NE4,13,,,,5,1
NE4,14,,,,1,1
NE4,15,,,,10,0
NE4,16,,,,1.5,1
NE4,17,8,14,57,22,0
NE4,18,8.5,24.5,48,33,0
NE4,19,,,,6.5,0
NE4,20,9,29,60,38,0
NE4,21,10.5,26.5,50,37,0
NE4,22,12.5,10.5,8,23,0
NE4,23,,,,1.5,1
NE4,24,9.5,6.5,4,16,0
NE4,25,,,,9.5,0
NE4,26,9,22,36,31,0
NE4,27,8,3,5,11,0
NE4,28,,,,1,1
NE4,29,,,,1.5,1
NE4,30,8,14,41,22,0
NE4,31,,,,2.5,1
NE4,32,,,,3.5,1
NE4,33,,,,3.5,1
NE4,34,8,7.5,17,15.5,0
NE4,35,,,,0.5,1
NE4,36,,,,1,1
NE4,37,,,,4.5,1
NE4,38,,,,5,1
NE4,39,,,,5,1
NE4,40,9,24,50,33,0
NE4,41,,,,8,0
NE4,42,,,,6.5,0
NE4,43,,,,3.5,1
NE4,44,,,,1.5,1
NE4,45,8,20,61,28,0
NE4,46,9,7.5,10,16.5,0
NE4,47,9.5,8.5,18,18,0
NE4,48,10,23,40,33,0
NE4,49,8.5,26.5,46,35,0
NE4,50,10.5,22.5,38,33,0
NE5,1,,,,0.5,1
NE5,2,,,,0.5,1
NE5,3,,,,3.5,1
NE5,4,,,,1.5,1
NE5,5,8.5,21,51,29.5,0
NE5,6,,,,3.5,1
NE5,7,,,,0.5,1
NE5,8,,,,12.5,0
NE5,9,,,,3.5,1
NE5,10,,,,5,1
NE5,11,7.5,20.5,42,28,0
NE5,12,,,,2.5,1
NE5,13,,,,0.5,1
NE5,14,9,17,35,26,0
NE5,15,,,,3.5,1
NE5,16,8,19,36,27,0
NE5,17,8.5,25.5,53,34,0
NE5,18,9.5,31.5,45,41,0
NE5,19,,,,0.5,1
NE5,20,7,10,27,17,0
NE5,21,,,,0.5,1
NE5,22,,,,3.5,1
NE5,23,9.5,15.5,30,25,0
NE5,24,,,,0.5,1
NE5,25,8.5,18.5,34,27,0
NE5,26,,,,0.5,1
NE5,27,,,,10.5,0
NE5,28,,,,10,0
NE5,29,9.5,22.5,52,32,0
NE5,30,,,,0.5,1
NE5,31,,,,6,1
NE5,32,,,,1.5,1
NE5,33,10,21,24,31,0
NE5,34,,,,3.5,1
NE5,35,10,18,33,28,0
NE5,36,,,,3.5,1
NE5,37,7.5,16.5,29,24,0
NE5,38,7,13,42,20,0
NE5,39,7.5,19.5,53,27,0
NE5,40,,,,12,0
NE5,41,,,,14.5,0
NE5,42,,,,9.5,0
NE5,43,10,11,27,21,0
NE5,44,8.5,16.5,38,25,0
NE5,45,8.5,27.5,63,36,0
NE5,46,,,,3.5,1
NE5,47,,,,2.5,1
NE5,48,,,,0.5,1
NE5,49,,,,5,1
NE5,50,11.5,14.5,40,26,0
NE6,1,,,,3.5,1
NE6,2,,,,15,0
NE6,3,,,,4.5,1
NE6,4,,,,2.5,1
NE6,5,10,14.5,32,24.5,0
NE6,6,,,,2.5,1
NE6,7,10,8.5,0,18.5,0
NE6,8,,,,10,0
NE6,9,,,,0.5,1
NE6,10,,,,4.5,1
NE6,11,,,,7.5,1
NE6,12,,,,3.5,1
NE6,13,9.5,11.5,20,21,0
NE6,14,,,,12,0
NE6,15,,,,3.5,1
NE6,16,,,,5,1
NE6,17,9,24,46,33,0
NE6,18,9,21,59,30,0
NE6,19,15,15,7,30,0
NE6,20,,,,4.5,1
NE6,21,,,,1.5,1
NE6,22,,,,3,1
NE6,23,,,,1.5,1
NE6,24,8.5,17.5,35,26,0
NE6,25,,,,0.5,1
NE6,26,11.5,4.5,3,16,0
NE6,27,,,,13,0
NE6,28,,,,3,1
NE6,29,,,,3.5,1
NE6,30,8,23,45,31,0
NE6,31,,,,3.5,1
NE6,32,,,,0.5,1
NE6,33,,,,2.5,1
NE6,34,,,,5.5,1
NE6,35,,,,8.5,0
NE6,36,,,,2.5,1
NE6,37,13.5,24.5,32,38,0
NE6,38,8.5,14.5,5,23,0
NE6,39,,,,1.5,1
NE6,40,9,22.5,62,31.5,0
NE6,41,,,,5.5,1
NE6,42,10,21.5,39,31.5,0
NE6,43,8,15,43,23,0
NE6,44,8.5,11.5,30,20,0
NE6,45,,,,4,1
NE6,46,,,,3,1
NE6,47,8,18,53,26,0
NE6,48,10,19,53,29,0
NE6,49,10,21,37,31,0
NE6,50,11.5,17,17,28.5,0
NE6,51,,,,18.5,0
NE6,52,,,,8.5,0
NL6,1,8.5,18.5,50,27,0
NL6,2,11,22,27,33,0
NL6,3,12.5,15.5,26,28,0
NL6,4,8.5,17.5,36,26,0
NL6,5,9,11,22,20,0
NL6,6,,,,4,1
NL6,7,,,,7.5,1
NL6,8,,,,5.5,1
NL6,9,,,,4.5,1
NL6,10,,,,3.5,1
NL6,11,12.5,2,0,14.5,0
NL6,12,,,,1.5,1
NL6,13,8.5,16.5,16,25,0
NL6,14,,,,1.5,1
NL6,15,7,11.5,35,18.5,0
NL6,16,8.5,19.5,48,28,0
NL6,17,8,6,13,14,0
NL6,18,12,4,4,16,0
NL6,19,13.5,8.5,10,22,0
NL6,20,,,,9,0
NL6,21,9.5,10.5,26,20,0
NL6,22,,,,7,1
NL6,23,,,,1.5,1
NL6,24,10,18,22,28,0
NL6,25,8,11.5,29,19.5,0
NL6,26,9,11,32,20,0
NL6,27,,,,13,0
NL6,28,,,,5.5,1
NL6,29,7.5,8.5,26,16,0
NL6,30,,,,2.5,1
NL6,31,,,,3.5,1
NL6,32,,,,1.5,1
NL6,33,,,,4.5,1
NL6,34,,,,4,1
NL6,35,,,,3.5,1
NL6,36,11.5,15.5,17,27,0
NL6,37,7.5,6,18,13.5,0
NL6,38,7.5,11.5,35,19,0
NL6,39,,,,2.5,1
NL6,40,7,14,45,21,0
NL6,41,9,0.5,0,9.5,0
NL6,42,7,24,49,31,0
NL6,43,7.5,24.5,58,32,0
NL6,44,7.5,22.5,48,30,0
NL6,45,11,1,0,12,0
NL6,46,7,13.5,35,20.5,0
NL6,47,8,18,38,26,0
NL6,48,9,30,41,39,0
NL6,49,9,10,26,19,0
NL6,50,,,,5,1
NL6,51,,,,9,0
NL6,52,,,,3.5,1
NL5,1,,,,3.5,1
NL5,2,,,,3.5,1
NL5,3,7,13,31,20,0
NL5,4,6,13,22,19,0
NL5,5,8.5,10.5,31,19,0
NL5,6,,,,2,1
NL5,7,7.5,23.5,25,31,0
NL5,8,,,,3.5,1
NL5,9,8,13,35,21,0
NL5,10,,,,5,1
NL5,11,,,,3.5,1
NL5,12,,,,2,1
NL5,13,8.5,20.5,56,29,0
NL5,14,7.5,10,23,17.5,0
NL5,15,,,,2.5,1
NL5,16,,,,3.5,1
NL5,17,7.5,11.5,26,19,0
NL5,18,10,9,10,19,0
NL5,19,9,14,39,23,0
NL5,20,,,,2.5,1
NL5,21,,,,2.5,1
NL5,22,,,,2.5,1
NL5,23,7,9.5,19,16.5,0
NL5,24,8,23,42,31,0
NL5,25,7.5,12.5,22,20,0
NL5,26,11.5,20,45,31.5,0
NL5,27,7.5,10,20,17.5,0
NL5,28,,,,5.5,1
NL5,29,7.5,10,20,17.5,0
NL5,30,,,,3.5,1
NL5,31,,,,2.5,1
NL5,32,7,9,18,16,0
NL5,33,8.5,14.5,41,23,0
NL5,34,,,,4.5,1
NL5,35,,,,3.5,1
NL5,36,8,6.5,13,14.5,0
NL5,37,9,22,29,31,0
NL5,38,7,10.5,39,17.5,0
NL5,39,,,,4,1
NL5,40,7,10,23,17,0
NL5,41,9.5,10.5,14,20,0
NL5,42,7.5,5.5,16,13,0
NL5,43,,,,5.5,1
NL5,44,,,,9,0
NL5,45,6.5,14.5,38,21,0
NL5,46,7.5,14.5,34,22,0
NL5,47,,,,9.5,0
NL5,48,8.5,13.5,36,22,0
NL5,49,9.5,28.5,39,38,0
NL5,50,,,,2.5,1
NL5,51,,,,5.5,1
NL5,52,9.5,9.5,17,19,0
NL4,1,7,24.5,55,31.5,0
NL4,2,9,20,43,29,0
NL4,3,,,,6.5,1
NL4,4,8,9.5,31,17.5,0
NL4,5,,,,2.5,1
NL4,6,,,,4.5,1
NL4,7,,,,4,1
NL4,8,7,11.5,31,18.5,0
NL4,9,8,11,38,19,0
NL4,10,,,,9.5,0
NL4,11,7.5,10,26,17.5,0
NL4,12,9,11,25,20,0
NL4,13,9,19,45,28,0
NL4,14,7,12,39,19,0
NL4,15,7,12,34,19,0
NL4,16,8.5,15.5,30,24,0
NL4,17,,,,3,1
NL4,18,7,12,28,19,0
NL4,19,8.5,19,46,27.5,0
NL4,20,,,,6,1
NL4,21,7.5,2,0,9.5,0
NL4,22,,,,5,1
NL4,23,8.5,28.5,45,37,0
NL4,24,8,21,51,29,0
NL4,25,8.5,21.5,42,30,0
NL4,26,7,12,26,19,0
NL4,27,,,,9,0
NL4,28,8,15,46,23,0
NL4,29,9.5,7.5,15,17,0
NL4,30,8.5,13.5,35,22,0
NL4,31,8,10,36,18,0
NL4,32,10.5,2.5,1,13,0
NL4,33,9,27,41,36,0
NL4,34,,,,4,1
NL4,35,8.5,20.5,51,29,0
NL4,36,10.5,14.5,27,25,0
NL4,37,8.5,12.5,27,21,0
NL4,38,8.5,17.5,40,26,0
NL4,39,,,,2.5,1
NL4,40,9,23,32,32,0
NL4,41,,,,5,1
NL4,42,8.5,14,52,22.5,0
NL4,43,,,,2.5,1
NL4,44,7.5,13.5,26,21,0
NL3,1,9.5,18,44,27.5,0
NL3,2,8,20,45,28,0
NL3,3,9,27,37,36,0
NL3,4,7,11.5,36,18.5,0
NL3,5,7.5,22,39,29.5,0
NL3,6,10.5,21.5,16,32,0
NL3,7,7.5,16,58,23.5,0
NL3,8,8,18,36,26,0
NL3,9,,,,9,0
NL3,10,,,,8.5,0
NL3,11,,,,7.5,1
NL3,12,,,,3.5,1
NL3,13,11,8,7,19,0
NL3,14,8.5,25.5,56,34,0
NL3,15,,,,5,1
NL3,16,,,,5,1
NL3,17,7,5.5,21,12.5,0
NL3,18,,,,11.5,0
NL3,19,,,,3,1
NL3,20,8,23,60,31,0
NL3,21,,,,9.5,0
NL3,22,9.5,25.5,54,35,0
NL3,23,,,,4.5,1
NL3,24,,,,3.5,1
NL3,25,8,23,45,31,0
NL3,26,8,24,50,32,0
NL3,27,,,,8,0
NL3,28,,,,3.5,1
NL3,29,7.5,15.5,29,23,0
NL3,30,7.5,15.5,47,23,0
NL3,31,7,8,21,15,0
NL3,32,6,27,54,33,0
NL3,33,8,20,45,28,0
NL3,34,8,11,49,19,0
NL3,35,8.5,19.5,43,28,0
NL3,36,,,,7.5,1
NL3,37,9.5,17.5,46,27,0
NL3,38,,,,13.5,0
NL3,39,8.5,7,8,15.5,0
NL3,40,9.5,10.5,15,20,0
NL3,41,,,,6,1
NL3,42,8.5,8.5,24,17,0
NL3,43,9,20,55,29,0
NL3,44,,,,3.5,1
NL3,45,9,19,56,28,0
NL3,46,7.5,8.5,23,16,0
NL3,47,8,19,49,27,0
NL3,48,8.5,10.5,27,19,0
NL3,49,7.5,4.5,8,12,0
NL2,1,10.5,18,34,28.5,0
NL2,2,,,,10.5,0
NL2,3,,,,11,0
NL2,4,8,14,36,22,0
NL2,5,,,,5.5,1
NL2,6,8,12.5,43,20.5,0
NL2,7,11,27.5,42,38.5,0
NL2,8,7.5,15.5,34,23,0
NL2,9,,,,4,1
NL2,10,8.5,11,37,19.5,0
NL2,11,7,10.5,34,17.5,0
NL2,12,8.5,7,8,15.5,0
NL2,13,9.5,14,26,23.5,0
NL2,14,8.5,31.5,51,40,0
NL2,15,7.5,17,55,24.5,0
NL2,16,7.5,12.5,32,20,0
NL2,17,7.5,13,38,20.5,0
NL2,18,9,8.5,16,17.5,0
NL2,19,8.5,25.5,62,34,0
NL2,20,9.5,19.5,35,29,0
NL2,21,9.5,15.5,35,25,0
NL2,22,7,16.5,47,23.5,0
NL2,23,7.5,9.5,22,17,0
NL2,24,8,25,69,33,0
NL2,25,9,20,24,29,0
NL2,26,8,18,58,26,0
NL2,27,,,,5.5,1
NL2,28,8.5,17.5,41,26,0
NL2,29,7,14.5,43,21.5,0
NL2,30,9,15.5,41,24.5,0
NL2,31,7.5,4.5,8,12,0
NL2,32,8,14,27,22,0
NL2,33,,,,5.5,1
NL2,34,9.5,13.5,14,23,0
NL2,35,8,20,58,28,0
NL2,36,8.5,4,9,12.5,0
NL2,37,8,19,49,27,0
NL2,38,9.5,10.5,15,20,0
NL2,39,,,,5.5,1
NL2,40,8,23,72,31,0
NL2,41,8,1.5,0,9.5,0
NL2,42,8,17,28,25,0
NL2,43,7,7,21,14,0
NL2,44,8.5,21.5,52,30,0
NL2,45,7,22,62,29,0
NL1,1,7.5,30,64,37.5,0
NL1,2,,,,10,0
NL1,3,9,8.5,9,17.5,0
NL1,4,,,,12,0
NL1,5,8.5,22.5,56,31,0
NL1,6,9.5,10.5,8,20,0
NL1,7,,,,6.5,1
NL1,8,10,17,15,27,0
NL1,9,,,,9.5,0
NL1,10,7,22,52,29,0
NL1,11,9,21,60,30,0
NL1,12,7.5,27.5,60,35,0
NL1,13,9.5,11.5,21,21,0
NL1,14,7.5,9,19,16.5,0
NL1,15,9.5,13.5,48,23,0
NL1,16,8,24.5,61,32.5,0
NL1,17,8,25,67,33,0
NL1,18,8,18,44,26,0
NL1,19,8.5,15,44,23.5,0
NL1,20,8,15,49,23,0
NL1,21,9.5,5.5,10,15,0
NL1,22,9.5,18.5,52,28,0
NL1,23,8,14.5,51,22.5,0
NL1,24,7,13,33,20,0
NL1,25,9,17.5,51,26.5,0
NL1,26,7.5,16.5,49,24,0
NL1,27,7.5,30.5,66,38,0
NL1,28,7,17,47,24,0
NL1,29,8,20.5,37,28.5,0
NL1,30,7.5,1.5,1,9,0
NL1,31,8,18,58,26,0
NL1,32,10,5.5,4,15.5,0
NL1,33,8,8.5,20,16.5,0
NL1,34,8,10,36,18,0
NL1,35,7.5,17.5,52,25,0
NL1,36,9.5,17.5,43,27,0
NL1,37,8.5,29.5,62,38,0
NL1,38,9,17,34,26,0
NL1,39,8.5,25.5,66,34,0
NL1,40,8,8,28,16,0
NL1,41,7.5,20.5,64,28,0
NL1,42,8,19,56,27,0
NL1,43,7,27,50,34,0
NL1,44,8,21,48,29,0
NL1,45,8.5,16.5,42,25,0
NL1,46,9,18,54,27,0
NL1,47,8.5,30.5,67,39,0
CK,1,9,26.5,19,35.5,0
CK,2,7.5,22.5,48,30,0
CK,3,8,14.5,36,22.5,0
CK,4,8,23.5,56,31.5,0
CK,5,8.5,12,22,20.5,0
CK,6,8,35.5,54,43.5,0
CK,7,7.5,6,20,13.5,0
CK,8,9,23,52,32,0
CK,9,8.5,14,34,22.5,0
CK,10,8.5,24,57,32.5,0
CK,11,8.5,11.5,21,20,0
CK,12,8,17.5,30,25.5,0
CK,13,7,12.5,48,19.5,0
CK,14,7.5,21,55,28.5,0
CK,15,8,20.5,49,28.5,0
CK,16,8,30,76,38,0
CK,17,7,22,31,29,0
CK,18,7.5,17.5,38,25,0
CK,19,8,19,56,27,0
CK,20,8,35,67,43,0
CK,21,7.5,17.5,48,25,0
CK,22,9.5,12.5,17,22,0
CK,23,6.5,8,24,14.5,0
CK,24,7.5,14.5,30,22,0
CK,25,8,26,54,34,0
CK,26,8.5,10,25,18.5,0
CK,27,8.5,14.5,35,23,0
CK,28,8,26.5,62,34.5,0
CK,29,8,17,48,25,0
CK,30,7,26,63,33,0
CK,31,7,31,62,37.5,0
CK,32,8,35,59,42.5,0
CK,33,7.5,11.5,29,19,0
CK,34,7.5,29.5,56,37,0
CK,35,8,18.5,38,26.5,0
CK,36,7,8,20,15,0
CK,37,8.5,11,21,19.5,0
CK,38,8,19,42,27,0
CK,39,7.5,19.5,46,27,0
CK,40,7.5,37.5,77,45,0
CK,41,7.5,32.5,72,40,0
CK,42,8,35,75,43,0
AE1,1,NA,16,38,23,0
AE1,2,NA,10,21,17,0
AE1,3,NA,25,64,32,0
AE1,4,NA,21,44,28,0
AE1,5,NA,12,21,19,0
AE1,6,NA,26,45,33,0
AE1,7,NA,10,21,17,0
AE1,8,NA,1,0,8,1
AE1,9,NA,33,62,40,0
AE1,10,NA,29,49,36,0
AE1,11,NA,22,44,29,0
AE1,12,NA,27,52,34,0
AE1,13,NA,3,0,10,0
AE1,14,NA,13,23,20,0
AE1,15,NA,2,0,9,1
AE1,16,NA,2,3,9,1
AE1,17,NA,22,31,29,0
AE1,18,NA,3,0,10,0
AE1,19,NA,22,42,29,0
AE1,20,NA,5,5,12,0
AE1,21,NA,31,42,38,0
AE1,22,NA,33,35,40,0
AE1,23,NA,4,3,11,0
AE1,24,NA,4,0,11,0
AE1,25,NA,26,51,33,0
AE1,26,NA,2,6,9,1
AE1,27,NA,25,44,32,0
AE1,28,NA,16,37,23,0
AE1,29,NA,19,40,26,0
AE1,30,NA,28,56,35,0
AE1,31,NA,18,47,25,0
AE1,32,NA,28,15,35,0
AE1,33,NA,7,18,14,0
AE1,34,NA,12,17,19,0
AE1,35,NA,19,42,26,0
AE2,1,NA,17,39,24,0
AE2,2,NA,4,3,11,0
AE2,3,NA,22,35,29,0
AE2,4,NA,2,0,9,1
AE2,5,NA,3,0,10,1
AE2,6,NA,1,0,8,1
AE2,7,NA,18,46,25,0
AE2,8,NA,33,73,40,0
AE2,9,NA,24,48,31,0
AE2,10,NA,21,46,28,0
AE2,11,NA,20,45,27,0
AE2,12,NA,10,7,17,0
AE2,13,NA,27,50,34,0
AE2,14,NA,11,16,18,0
AE2,15,NA,5,6,12,0
AE2,16,NA,13,23,20,0
AE2,17,NA,22,62,29,0
AE2,18,NA,26,34,33,0
AE2,19,NA,31,46,38,0
AE2,20,NA,2,1,9,1
AE2,21,NA,1,0,8,1
AE2,22,NA,13,30,20,0
AE2,23,NA,1,0,8,1
AE2,24,NA,23,49,30,0
AE2,25,NA,22,48,29,0
AE2,26,NA,20,38,27,0
AE2,27,NA,21,40,28,0
AE2,28,NA,18,42,25,0
AE2,29,NA,11,22,18,0
AE2,30,NA,20,59,27,0
AE2,31,NA,18,23,25,0
AE2,32,NA,19,37,26,0
AE2,33,NA,19,34,26,0
AE3,1,NA,16,23,23,0
AE3,2,NA,5,6,12,0
AE3,3,NA,2,0,9,1
AE3,4,NA,6,5,13,0
AE3,5,NA,2,0,9,1
AE3,6,NA,28,50,35,0
AE3,7,NA,32,65,39,0
AE3,8,NA,7,7,14,0
AE3,9,NA,7,22,14,0
AE3,10,NA,21,36,28,0
AE3,11,NA,19,47,26,0
AE3,12,NA,21,35,28,0
AE3,13,NA,1,0,8,1
AE3,14,NA,11,28,18,0
AE3,15,NA,20,28,27,0
AE3,16,NA,4,9,11,1
AE3,17,NA,3,2,10,1
AE3,18,NA,35,65,42,0
AE3,19,NA,30,57,37,0
AE3,20,NA,7,12,14,0
AE3,21,NA,1,0,8,1
AE3,22,NA,30,58,37,0
AE3,23,NA,6,13,13,0
AE3,24,NA,5,5,12,0
AE3,25,NA,17,27,24,0
AE3,26,NA,5,8,12,0
AE3,27,NA,1,4,8,1
AE3,28,NA,21,53,28,0
AE3,29,NA,16,50,23,0
AE3,30,NA,2,4,9,1
AE3,31,NA,14,25,21,0
AE3,32,NA,14,32,21,0
AE3,33,NA,12,14,19,0
AE4,1,NA,21,42,28,0
AE4,2,NA,35,55,42,0
AE4,3,NA,1,0,8,1
AE4,4,NA,3,1,10,1
AE4,5,NA,7,16,14,0
AE4,6,NA,1,0,8,1
AE4,7,NA,22,41,29,0
AE4,8,NA,16,11,23,0
AE4,9,NA,18,41,25,0
AE4,10,NA,26,41,33,0
AE4,11,NA,2,2,9,1
AE4,12,NA,24,41,31,0
AE4,13,NA,1,0,8,1
AE4,14,NA,3,0,10,1
AE4,15,NA,3,2,10,1
AE4,16,NA,29,50,36,0
AE4,17,NA,3,0,10,1
AE4,18,NA,4,4,11,1
AE4,19,NA,17,18,24,0
AE4,20,NA,23,38,30,0
AE4,21,NA,22,13,29,0
AE4,22,NA,2,0,9,1
AE4,23,NA,2,0,9,1
AE4,24,NA,2,0,9,1
AE4,25,NA,4,2,11,1
AE4,26,NA,2,0,9,1
AE4,27,NA,20,34,27,0
AE4,28,NA,6,7,13,0
AE4,29,NA,19,39,26,0
AE4,30,NA,25,49,32,0
AE4,31,NA,32,37,39,0
AE4,32,NA,17,21,24,0
AE4,33,NA,29,38,36,0
AE4,34,NA,24,33,31,0
AE5,1,NA,5,15,12,1
AE5,2,NA,18,30,25,0
AE5,3,NA,20,39,27,0
AE5,4,NA,3,2,10,1
AE5,5,NA,20,43,27,0
AE5,6,NA,1,0,8,1
AE5,7,NA,21,45,28,0
AE5,8,NA,2,2,9,1
AE5,9,NA,9,17,16,0
AE5,10,NA,9,15,16,0
AE5,11,NA,2,0,9,1
AE5,12,NA,12,22,19,0
AE5,13,NA,3,2,10,1
AE5,14,NA,14,23,21,0
AE5,15,NA,8,8,15,0
AE5,16,NA,5,14,12,1
AE5,17,NA,4,2,11,1
AE5,18,NA,16,34,23,0
AE5,19,NA,24,51,31,0
AE5,20,NA,16,35,23,0
AE5,21,NA,24,56,31,0
AE5,22,NA,3,6,10,1
AE5,23,NA,2,5,9,1
AE5,24,NA,2,5,9,1
AE5,25,NA,22,33,29,0
AE5,26,NA,10,12,17,0
AE5,27,NA,19,47,26,0
AE5,28,NA,3,4,10,1
AE5,29,NA,3,1,10,1
AE5,30,NA,10,15,17,0
AE5,31,NA,14,12,21,0
AE6,1,NA,25,36,32,0
AE6,2,NA,2,4,9,1
AE6,3,NA,15,17,22,0
AE6,4,NA,3,3,10,1
AE6,5,NA,2,1,9,1
AE6,6,NA,3,1,10,1
AE6,7,NA,2,1,9,1
AE6,8,NA,22,15,29,0
AE6,9,NA,2,0,9,1
AE6,10,NA,21,33,28,0
AE6,11,NA,1,0,8,1
AE6,12,NA,2,4,9,1
AE6,13,NA,3,2,10,1
AE6,14,NA,26,19,33,0
AE6,15,NA,7,8,14,1
AE6,16,NA,2,1,9,1
AE6,17,NA,1,0,8,1
AE6,18,NA,2,0,9,1
AE6,19,NA,14,10,21,0
AE6,20,NA,14,23,21,0
AE6,21,NA,1,0,8,1
AE6,22,NA,2,2,9,1
AE6,23,NA,5,14,12,1
AE6,24,NA,18,15,25,0
AE6,25,NA,7,9,14,1
